RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;-------;-------;-------
098.20890083055;+20.26230636504;    0.0486;   -2.654;  -10.738;20.5097;21.4211;19.2427
098.20510980370;+20.25727447222;    1.2820;    0.478;   -5.647;20.4424;21.2112;19.1311
098.18396912690;+20.26893509422;    0.2120;   -1.528;   -0.461;16.7385;17.2010;16.1108
098.21375484775;+20.26510137895;    0.3963;    1.746;   -0.161;18.9348;19.5460;18.1037
098.21386724643;+20.26723053176;    1.0039;   -0.552;   -3.842;20.3492;20.8872;19.1602
098.19202119523;+20.26733159350;    0.3212;    0.761;   -0.902;18.0201;18.5876;17.2951
098.19285747254;+20.27601526537;    0.3111;    0.363;   -1.492;19.1622;19.6127;18.5235
098.19740696658;+20.26203485193;          ;         ;         ;16.7160;       ;
098.20225827872;+20.27143775061;    0.5312;   -0.124;   -2.248;15.0261;15.3828;14.4985
098.19806278759;+20.28180008081;    0.9378;    0.417;   -2.047;19.9096;20.5298;19.1820
098.19691740006;+20.26617286405;    2.1203;   22.749;   -1.831;19.4073;20.6182;18.1778
098.18635233628;+20.27357208878;    0.2533;   -1.197;   -1.646;17.4896;17.9620;16.8592
098.19114083584;+20.27608869112;    0.0237;   -0.272;   -1.526;16.7089;17.0886;16.1631
098.19610544608;+20.28323381006;    0.7189;   -2.594;   -2.083;18.3264;18.6859;16.8339
098.19228120227;+20.27307503178;    1.4246;    0.850;   -0.489;20.3824;20.9484;19.2427
098.20446285953;+20.27543167094;    0.2121;   -3.344;   -1.828;18.8095;19.6437;17.8030
098.18843965378;+20.26060282560;    0.6667;   -0.313;    2.704;17.8266;18.5695;16.9409
098.19131278431;+20.26241310052;    0.8300;    0.407;   -1.273;19.6930;20.4817;18.7370
098.20147392211;+20.26135326681;   -0.4343;    2.202;   -1.662;20.3436;21.0560;19.2744
098.18693641402;+20.27217954307;    0.0961;   -0.055;   -1.364;16.8081;17.2155;16.2375
098.20722416325;+20.26435524341;    0.5435;   -0.489;   -3.594;19.4426;20.3490;18.4348
098.19745649024;+20.26185425862;    0.0246;    5.314;   -0.441;15.9025;16.0531;14.8498
098.20718648842;+20.26042073561;    0.1779;   -0.281;   -0.875;18.0581;18.3813;17.4861
098.20471642574;+20.25997941371;    1.2121;    2.739;   -3.269;18.7887;19.5902;17.7506
098.20217106027;+20.27767032014;    0.2252;    0.436;   -1.924;18.1627;18.7058;17.4672
098.20621015243;+20.26119909366;    0.4898;    1.624;   -0.032;19.2959;19.6618;18.5440
098.19608645339;+20.28360059310;    1.3567;    4.506;   -4.285;18.5248;       ;
098.22681645248;+20.29448496077;          ;         ;         ;20.8153;21.0330;19.8471
098.23689124730;+20.28464585892;    0.0290;   -0.611;   -4.991;19.5433;20.2036;18.7198
098.23462032922;+20.28518386522;    0.1286;   -0.144;   -4.719;17.3378;17.8037;16.7065
098.22940471610;+20.29001895175;          ;         ;         ;20.6233;21.5134;19.3800
098.21422960117;+20.29478672228;          ;         ;         ;20.9353;20.6904;19.6088
098.21774382955;+20.26996860670;    0.1779;    0.487;   -1.562;18.6626;19.1496;17.9651
098.21620859577;+20.27294799940;    0.1341;   -0.344;   -1.249;16.9396;17.3385;16.3755
098.22483594132;+20.27253332452;    0.5630;   -3.115;   -2.535;19.4160;20.4864;18.3656
098.21805403438;+20.30010396345;    0.4121;    0.018;   -1.373;17.7493;18.2021;17.1207
098.21804373655;+20.27773777739;          ;         ;         ;20.8576;21.7436;19.7732
098.22043192203;+20.28408684528;    0.7549;   -1.468;   -8.321;16.5755;17.1183;15.8853
098.22275874966;+20.28347038867;    0.2313;    0.761;   -1.961;18.3405;18.8078;17.6597
098.20022326299;+20.28427798318;    0.7292;    1.136;   -1.181;17.9417;18.7672;17.0608
098.21444700914;+20.28259548863;    0.3589;   -1.302;   -0.590;13.5914;14.2040;12.8540
098.20655477741;+20.29180990051;   -0.7909;    0.698;   -4.111;15.9588;16.0541;15.0979
098.22419738589;+20.28782846989;    0.5389;   -0.522;   -4.989;15.2194;15.5704;14.7043
098.22541143055;+20.28980584126;    0.0863;    0.216;   -0.117;18.3629;18.9411;17.5469
098.22261979733;+20.29542523547;    0.8392;    2.391;    0.534;18.8578;19.9782;17.7489
098.22699621491;+20.29119203941;   -0.5894;    0.117;    0.043;20.1803;20.2288;19.1335
098.21971606811;+20.27063915668;    0.4690;   -0.537;   -0.234;17.2056;17.6760;16.5727
098.21491065000;+20.29612592044;    0.3499;    1.096;   -0.710;18.7845;19.2984;18.0424
098.21156578217;+20.28520384180;    2.0580;   -8.481;   -5.522;12.6492;13.0169;12.1304
098.21931954817;+20.27600006361;    0.2529;    0.422;   -3.112;16.8041;17.3487;16.1067
098.21352142057;+20.29567377785;    1.1798;   -4.759;   -6.904;18.5321;19.6531;17.4327
098.20672961146;+20.29187746879;          ;         ;         ;17.0337;       ;
098.23554328992;+20.28225190952;    0.5147;    1.349;   -2.050;18.3202;18.8857;17.6186
098.20253483343;+20.27909313451;    0.3982;    0.591;   -1.214;18.6227;19.3447;17.8069
098.21083034845;+20.28007379955;    0.3117;    0.677;   -1.231;19.1027;19.4960;18.3413
098.22472930592;+20.28041258044;   -0.7011;   -1.506;   -0.022;19.5602;20.2324;18.7070
098.20139159248;+20.28341179275;    0.6229;    1.366;    2.634;18.8978;19.6741;17.9652
098.13047824086;+20.29909627713;    1.5338;    0.056;   -3.162;20.2368;21.0758;19.4811
098.14126876469;+20.29333794771;    2.3711;    2.977;   -2.525;20.4888;20.8236;19.8269
098.13718714792;+20.29744900381;    0.2123;   -0.681;   -1.348;16.4932;16.8053;15.9916
098.13951530805;+20.29401011519;    0.3636;   -2.095;   -7.833;17.7336;18.4555;16.8677
098.13985287449;+20.29429227297;          ;         ;         ;20.7256;       ;
098.13775480403;+20.29593488383;    0.7221;    0.587;   -1.387;18.8809;19.3740;18.1702
098.15934193432;+20.28433186323;    0.7004;   -0.318;   -4.265;16.6666;17.2548;15.9223
098.18490256036;+20.28631700195;    1.0499;   -2.718;    2.507;20.3601;19.7474;18.7917
098.15836059446;+20.28185349555;          ;         ;         ;20.5468;21.5097;19.4169
098.16018616584;+20.27900745983;   -0.7461;   -2.263;   -2.540;20.4180;20.8494;19.4100
098.16585445247;+20.29396117929;    1.0740;   -3.644;   -5.784;20.3006;21.1004;19.2945
098.18131073767;+20.28548581940;    1.4736;    2.436;   -9.252;19.0125;20.3814;17.7803
098.18054984184;+20.27926931761;          ;         ;         ;20.6842;20.2140;19.9009
098.18626006072;+20.28390025500;          ;         ;         ;20.6533;21.8787;19.2017
098.16927180236;+20.27305822430;   -0.2267;    2.003;   -1.175;19.4771;19.9835;18.7343
098.18293527579;+20.29274799956;          ;         ;         ;20.8626;21.7073;19.4854
