RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;-------;-------;-------
357.57050774101;+62.40616017641;    0.5476;   -3.318;   -3.377;20.6860;20.5592;19.5250
357.58774422248;+62.39585511464;    0.3130;   -3.933;   -1.039;18.2118;18.9807;17.3242
357.56787384490;+62.40279261990;          ;         ;         ;21.2436;       ;
357.55305897046;+62.39181461875;          ;         ;         ;20.8470;21.4146;20.1209
357.55670452161;+62.40298450017;          ;         ;         ;20.9020;       ;
357.55986181661;+62.39387862346;   -2.6091;   -2.658;    4.122;20.8093;21.3712;19.8214
357.55986409565;+62.40290342265;    0.3834;    4.478;    1.034;19.1178;20.0453;18.0399
357.52724332095;+62.37721454436;    0.0772;   -1.450;   -1.143;19.4332;20.3572;18.3751
357.53015044576;+62.37838820949;    0.3339;   -3.384;   -1.599;16.9657;17.5128;16.2370
357.55541802836;+62.40096242855;   -0.2241;   -1.283;   -0.503;20.4844;20.8134;19.4697
357.53416756488;+62.39179328173;    0.5758;    0.688;   -3.470;19.0239;20.0583;17.8112
357.55876879879;+62.40355623902;    0.1231;   -4.498;   -3.410;20.5748;20.6274;19.3891
357.52859921733;+62.37906176774;    0.3976;   -1.783;   -0.572;17.2395;17.8401;16.2874
357.52915594870;+62.38012736738;    0.9043;   -8.815;    3.878;16.3947;17.0438;15.6093
357.57374616143;+62.40098158263;    0.2985;   -0.811;   -1.123;18.6296;19.3224;17.7560
357.56050208430;+62.38757611891;    0.7255;   -4.054;    1.800;20.5614;20.8050;19.4856
357.53080990904;+62.39115756935;    1.1257;   -0.920;   -1.484;20.4184;21.0166;19.0510
357.52535295707;+62.38478841394;   -0.6994;   -3.018;   -0.292;20.1461;20.7354;18.9797
357.59088242805;+62.41240067461;   -0.6425;   -5.630;   -3.380;19.2142;19.9332;18.0338
357.58043477769;+62.40992889879;    0.3015;   -0.934;   -0.978;20.1009;20.6370;19.0458
357.52330224808;+62.38181666110;    0.3834;   -3.772;   -2.144;20.1514;20.8420;19.0336
357.54601369520;+62.39521078139;    0.4116;   -4.662;   -1.504;17.1135;17.7354;16.3439
357.52315669058;+62.38417824681;    0.4433;    1.551;   -2.999;17.3339;18.0195;16.5066
357.54197454291;+62.38350174941;          ;         ;         ;21.0462;       ;
357.57707497004;+62.39936893725;          ;         ;         ;21.1913;       ;
357.55036147237;+62.39690663240;    0.1251;   -0.559;   -2.366;19.6640;20.1183;18.7270
357.57861612633;+62.39908102220;    0.2630;   -1.721;   -0.854;17.5977;18.3126;16.7530
357.58240019711;+62.39894255651;    0.3022;   -0.653;    0.973;19.8562;20.4822;18.7944
